location_id,recorded_at,actual_avg_demand_l,ml_predicted_demand_l,variance_l,accuracy_pct,priority_level
loc_001,2026-01-19 00:00:19+00:00,2965.0,2720.8,-244.2,91.8,NORMAL
loc_002,2026-01-19 00:00:19+00:00,2812.8,2688.8,-124.0,95.6,NORMAL
loc_003,2026-01-19 00:00:19+00:00,6364.5,6607.9,243.4,96.2,CRITICAL
loc_004,2026-01-19 00:00:19+00:00,3104.1,3048.1,-56.0,98.2,NORMAL
loc_005,2026-01-19 00:00:19+00:00,3617.9,3594.5,-23.4,99.4,CRITICAL
loc_006,2026-01-19 00:00:19+00:00,3471.3,3727.5,256.1,92.6,CRITICAL
loc_007,2026-01-19 00:00:19+00:00,3546.2,3074.4,-471.8,86.7,NORMAL
loc_008,2026-01-19 00:00:19+00:00,3504.9,3022.8,-482.1,86.2,NORMAL
loc_009,2026-01-19 00:00:19+00:00,3188.8,3000.6,-188.1,94.1,NORMAL
loc_010,2026-01-19 00:00:19+00:00,2949.3,2775.3,-174.0,94.1,NORMAL
loc_011,2026-01-19 00:00:19+00:00,3469.4,3139.5,-329.9,90.5,NORMAL
loc_012,2026-01-19 00:00:19+00:00,3652.8,3740.7,88.0,97.6,CRITICAL
loc_013,2026-01-19 00:00:19+00:00,3561.1,3050.8,-510.3,85.7,NORMAL
loc_014,2026-01-19 00:00:19+00:00,3586.6,3751.5,164.8,95.4,CRITICAL
loc_015,2026-01-19 00:00:19+00:00,3547.3,3031.3,-515.9,85.5,NORMAL
loc_016,2026-01-19 00:00:19+00:00,3439.8,3475.7,35.9,99.0,NORMAL
loc_017,2026-01-19 00:00:19+00:00,3434.6,3405.0,-29.6,99.1,NORMAL
loc_018,2026-01-19 00:00:19+00:00,3112.2,2937.4,-174.8,94.4,NORMAL
loc_019,2026-01-19 00:00:19+00:00,3134.4,2832.2,-302.2,90.4,NORMAL
