device_id,recorded_at,pressure_pa,battery_v,lat,lon,hdop,sat_count,fix_type,speed_mps,msg_type,event_type
can_001,2026-01-19T00:02:26Z,104434,3.67,12.90337,33.89747,0.9,9,3D,0.67,EVENT,SERVICE_STOP
can_001,2026-01-19T00:04:38Z,102554,4.05,15.39732,32.80622,1.3,9,3D,0.01,EVENT,SERVICE_STOP
can_001,2026-01-19T00:05:06Z,105854,3.8,15.09193,33.59918,1.2,12,3D,0.08,EVENT,SERVICE_STOP
can_001,2026-01-19T00:05:57Z,101799,3.77,13.16758,30.2172,5.4,6,2D,2.48,HEARTBEAT,
can_001,2026-01-19T00:06:21Z,107078,4.02,13.70753,30.79917,1.8,9,3D,11.66,HEARTBEAT,
can_001,2026-01-19T00:06:53Z,111993,3.93,14.50685,33.10864,1.0,14,3D,0.0,EVENT,REFILL
can_001,2026-01-19T00:07:11Z,107956,4.16,15.50037,32.56876,3.0,3,2D,4.37,HEARTBEAT,
can_001,2026-01-19T00:07:11Z,107843,4.06,12.60057,31.31755,1.1,10,3D,1.1,EVENT,SERVICE_STOP
can_001,2026-01-19T00:07:41Z,107825,4.16,15.49239,32.56365,7.0,4,2D,6.5,HEARTBEAT,
can_001,2026-01-19T00:11:55Z,106498,3.91,15.61613,32.54077,0.9,12,3D,0.75,EVENT,SERVICE_STOP
can_001,2026-01-19T00:13:17Z,105934,3.67,15.61727,32.53365,7.1,4,2D,0.79,HEARTBEAT,
can_001,2026-01-19T00:17:25Z,104415,3.93,13.19249,31.19418,2.9,3,2D,5.14,HEARTBEAT,
can_001,2026-01-19T00:18:12Z,102105,3.55,15.60628,32.53015,0.9,14,3D,0.78,EVENT,SERVICE_STOP
can_001,2026-01-19T00:18:51Z,109279,3.96,13.8988,35.50621,1.0,12,3D,1.1,EVENT,REFILL
can_001,2026-01-19T00:22:25Z,102962,3.53,13.5035,33.9968,3.3,7,2D,10.67,HEARTBEAT,
can_001,2026-01-19T00:26:44Z,101325,3.63,15.60982,32.52485,0.9,11,3D,0.55,EVENT,DEPLETED
can_001,2026-01-19T00:30:02Z,101325,4.2,15.79384,33.19702,1.2,10,3D,0.24,EVENT,DEPLETED
can_001,2026-01-19T00:30:16Z,106511,3.8,15.61639,32.53527,5.9,3,NO_FIX,5.72,HEARTBEAT,
can_001,2026-01-19T00:31:28Z,104995,3.58,15.09738,33.59645,3.1,5,NO_FIX,2.3,HEARTBEAT,
can_001,2026-01-19T00:32:49Z,102118,3.69,12.50765,30.50071,2.7,6,2D,9.43,HEARTBEAT,
can_001,2026-01-19T00:35:23Z,107805,4.03,13.49675,33.99235,6.7,5,2D,4.66,HEARTBEAT,
can_001,2026-01-19T00:36:39Z,104880,3.72,12.89766,33.89315,6.7,7,2D,1.55,HEARTBEAT,
can_001,2026-01-19T00:38:20Z,104701,3.6,14.79346,34.49562,2.5,3,2D,3.5,HEARTBEAT,
can_001,2026-01-19T00:40:29Z,103007,3.55,13.20727,31.20812,0.8,12,3D,1.02,EVENT,SERVICE_STOP
can_001,2026-01-19T00:41:32Z,103989,3.57,12.89944,33.89835,1.8,9,3D,8.29,HEARTBEAT,
can_001,2026-01-19T00:45:36Z,106146,3.97,15.39645,32.80858,1.8,9,3D,3.6,HEARTBEAT,
can_001,2026-01-19T00:45:39Z,102128,3.54,14.96889,35.56298,1.8,9,3D,4.56,HEARTBEAT,
can_001,2026-01-19T00:47:17Z,102585,4.04,15.61271,32.52853,2.6,7,2D,0.03,HEARTBEAT,
can_001,2026-01-19T00:47:47Z,106591,3.81,13.19811,31.20009,3.7,5,NO_FIX,1.04,HEARTBEAT,
can_001,2026-01-19T00:49:05Z,106387,3.86,15.0943,33.601,7.3,6,NO_FIX,2.6,HEARTBEAT,
can_001,2026-01-19T00:49:23Z,106189,3.92,13.8942,35.49948,3.2,6,2D,11.91,HEARTBEAT,
can_001,2026-01-19T00:50:26Z,101898,3.74,15.39527,32.79783,7.9,4,2D,7.53,HEARTBEAT,
can_001,2026-01-19T00:53:30Z,111692,3.84,13.16684,30.20913,1.2,12,3D,0.46,EVENT,REFILL
can_001,2026-01-19T00:54:50Z,106990,4.17,15.50957,32.55189,1.8,9,3D,9.02,HEARTBEAT,
can_001,2026-01-19T00:54:57Z,101325,3.99,14.80407,34.50377,1.0,14,3D,1.39,EVENT,DEPLETED
can_001,2026-01-19T00:56:46Z,101325,3.87,12.50447,30.50281,1.1,10,3D,0.73,EVENT,DEPLETED
can_001,2026-01-19T01:04:02Z,104195,3.65,13.20811,31.19975,0.9,9,3D,0.25,EVENT,SERVICE_STOP
can_001,2026-01-19T01:05:58Z,102532,3.87,13.90497,35.49745,1.3,12,3D,0.52,EVENT,SERVICE_STOP
can_001,2026-01-19T01:06:35Z,101325,3.7,13.4063,30.55444,1.2,10,3D,1.22,EVENT,DEPLETED
can_001,2026-01-19T01:08:39Z,106488,3.9,12.89387,33.90576,1.8,9,3D,2.48,HEARTBEAT,
can_001,2026-01-19T01:09:47Z,105491,4.11,15.60503,32.5363,3.9,7,2D,4.01,HEARTBEAT,
can_001,2026-01-19T01:10:13Z,102603,3.99,13.70481,30.80538,2.7,7,NO_FIX,0.13,HEARTBEAT,
can_001,2026-01-19T01:12:43Z,106930,3.88,14.79992,34.49933,1.8,9,3D,5.28,HEARTBEAT,
can_001,2026-01-19T01:14:12Z,103911,4.17,13.1802,30.20857,1.3,13,3D,0.34,EVENT,SERVICE_STOP
can_001,2026-01-19T01:15:42Z,104539,4.11,15.39828,32.80424,3.8,4,2D,9.54,HEARTBEAT,
can_001,2026-01-19T01:16:29Z,104699,4.01,13.20112,31.199,1.8,9,3D,7.33,HEARTBEAT,
can_001,2026-01-19T01:16:56Z,104774,4.12,15.60485,32.52855,2.9,4,2D,4.18,HEARTBEAT,
can_001,2026-01-19T01:18:13Z,105778,3.88,13.10818,32.58241,5.0,3,2D,0.15,HEARTBEAT,
can_001,2026-01-19T01:19:55Z,105396,3.59,15.00399,35.0025,0.9,11,3D,1.04,EVENT,SERVICE_STOP
can_001,2026-01-19T01:20:49Z,110264,4.08,13.1759,30.20704,1.2,14,3D,1.03,EVENT,REFILL
can_001,2026-01-19T01:25:49Z,103997,3.78,14.20168,32.09935,1.5,11,3D,0.11,EVENT,SERVICE_STOP
can_001,2026-01-19T01:30:15Z,109637,3.91,13.49857,34.00551,1.1,14,3D,0.85,EVENT,REFILL
can_001,2026-01-19T01:30:49Z,104120,3.99,13.18107,30.2073,1.8,9,3D,9.12,HEARTBEAT,
can_001,2026-01-19T01:31:11Z,109234,3.94,15.50401,32.56201,0.8,11,3D,0.91,EVENT,REFILL
