location_id,recorded_at,predicted_demand_l,model_forecast_l
loc_001,2026-01-19 00:00:19+00:00,2964.979175768167,2720.7816513761445
loc_002,2026-01-19 00:00:19+00:00,2812.8131644094947,2688.766483180425
loc_003,2026-01-19 00:00:19+00:00,6364.455511868357,6607.854026503565
loc_004,2026-01-19 00:00:19+00:00,3104.1304791029565,3048.1044648318043
loc_005,2026-01-19 00:00:19+00:00,3617.945536624436,3594.5134760448536
loc_006,2026-01-19 00:00:19+00:00,3471.3429445172565,3727.45639143731
loc_007,2026-01-19 00:00:19+00:00,3546.2088248143295,3074.363751274211
loc_008,2026-01-19 00:00:19+00:00,3504.883646424931,3022.776146788992
loc_009,2026-01-19 00:00:19+00:00,3188.7572447939424,3000.613577981652
loc_010,2026-01-19 00:00:19+00:00,2949.2937236056505,2775.295494393476
loc_011,2026-01-19 00:00:19+00:00,3469.448667540411,3139.5348419979605
loc_012,2026-01-19 00:00:19+00:00,3652.785787097714,3740.745198776759
loc_013,2026-01-19 00:00:19+00:00,3561.0939274792486,3050.8412640163115
loc_014,2026-01-19 00:00:19+00:00,3586.6369593709046,3751.4725790010193
loc_015,2026-01-19 00:00:19+00:00,3547.2567351099465,3031.343527013253
loc_016,2026-01-19 00:00:19+00:00,3439.7926314256592,3475.667400611621
loc_017,2026-01-19 00:00:19+00:00,3434.647444298821,3405.0122731906204
loc_018,2026-01-19 00:00:19+00:00,3112.194553662444,2937.414026503569
loc_019,2026-01-19 00:00:19+00:00,3134.400465996797,2832.1767991845054
